ID-Anforderung;Titel;Inhalt;Typ;Thema;Befehl;Beschreibung;Benötigt Admin-Rechte
SYS.2.2.3.A18;Einsatz der Windows-Remoteunterstützung;Sofern die Windows-Remoteunterstützung nicht verwendet wird, SOLLTE sie vollständig deaktiviert werden.;Standard;Einstellungen zu RDP prüfen;"# Überprüfen, ob RDP aktiv ist
$rdpStatus = Get-WmiObject -Class Win32_TerminalServiceSetting -ErrorAction SilentlyContinue
if ($rdpStatus -and $rdpStatus.AllowTSConnections -eq 1) {
    Write-Output ""RDP ist aktiviert.""
} else {
    Write-Output ""RDP ist deaktiviert.""
}

# Überprüfen, ob der RDP-Port in der Firewall für jede Zone offen ist
$rdpPort = 3389
$zones = @(""Domain"", ""Private"", ""Public"")

foreach ($zone in $zones) {
    $firewallRule = Get-NetFirewallRule | Where-Object { $_.DisplayName -like ""*Remote Desktop*"" -and $_.Enabled -eq ""True"" -and $_.Profile -like ""*$zone*"" }

    if ($firewallRule) {
        Write-Output ""Der RDP-Port ($rdpPort) ist in der Firewall für die '$zone'-Zone offen.""
    } else {
        Write-Output ""Der RDP-Port ($rdpPort) ist in der Firewall für die '$zone'-Zone geschlossen.""
    }
}

# Überprüfen, welche Benutzer in der Gruppe Remotedesktopbenutzer sind
$rdpGroup = ""Remote Desktop Users""
$rdpUsers = Get-LocalGroupMember -Group $rdpGroup -ErrorAction SilentlyContinue

if ($rdpUsers) {
    Write-Output ""Benutzer in der Gruppe '$rdpGroup':""
    $rdpUsers | ForEach-Object { Write-Output $_.Name }
} else {
    Write-Output ""Es sind keine Benutzer in der Gruppe '$rdpGroup' oder die Gruppe existiert nicht.""
}";prüft, ob RDP aktiv ist, ob in der lokalen Firewall der Port für RDP offen ist und welche Benutzer in der Gruppe Remotedesktopuser sind;WAHR
SYS.2.1.A8;Absicherung des Bootvorgangs;Es SOLLTE entschieden werden, ob und wie der Bootvorgang kryptografisch geschützt werden soll.;Basis;Festplatten Verschlüsselung;manage-bde -status;"Um zu prüfen, ob eine Festplattenverschlüsselung der Bootpartition aktiv i.
Dieser Befehl gibt Ihnen einen Überblick über den Verschlüsselungsstatus der Laufwerke auf Ihrem System.";WAHR
SYS.2.1.A8;Absicherung des Bootvorgangs;Es SOLLTE entschieden werden, ob und wie der Bootvorgang kryptografisch geschützt werden soll.;Basis;Festplatten Verschlüsselung;Get-BitLockerVolume;Dieser Befehl gibt Ihnen ebenfalls Informationen über den Verschlüsselungsstatus der Laufwerke, einschließlich der Bootpartition;WAHR
SYS.2.2.3.A23;Erweiterter Schutz der Anmeldeinformationen unter Windows;Auf UEFI-basierten Systemen SOLLTE SecureBoot verwendet und der Status des geschützten Modus für den Local Credential Store LSA beim Systemstart überwacht werden.;Hoch;Geschützter Modus für den Local Credential Store (LSA);"# Überprüfen des geschützten Modus für LSA
$lsaRegistryPath = ""HKLM:\SYSTEM\CurrentControlSet\Control\Lsa""
$protectedModeValue = Get-ItemProperty -Path $lsaRegistryPath -Name ""RunAsPPL"" -ErrorAction SilentlyContinue

if ($protectedModeValue -eq 1) {
    Write-Output ""Der geschützte Modus für den Local Credential Store (LSA) ist aktiviert.""
} else {
    Write-Output ""Der geschützte Modus für den Local Credential Store (LSA) ist nicht aktiviert.""
}";Um den Status des geschützten Modus für den Local Credential Store zu überprüfen, kannst du die Registrierung abfragen. Der geschützte Modus für LSA wird durch den Registrierungseintrag Lsa in der Windows-Registrierung gesteuert.;WAHR
SYS.2.2.3.A4;Telemetrie und Datenschutzeinstellungen unter Windows;Um die Übertragung von Diagnose- und Nutzungsdaten an Microsoft stark zu reduzieren, MUSS das Telemetrie-Level 0 (Security) in der Enterprise-Edition von Windows konfiguriert werden.;Basis;Telemetrie-Agent Einstellung in GPO ;"$htmlContent = Get-Content -Path $env:USERPROFILE""\Desktop\gpresult.html"" -Raw

# Nach der Einstellung für die Telemetrie suchen
if ($htmlContent -match ""Telemetrie"") {
    if ($htmlContent -match ""Aktiviert"") {
        Write-Output ""Der Telemetrie-Agent ist aktiviert.""
    } else {
        Write-Output ""Der Telemetrie-Agentist nicht aktiviert.""
    }
} else {
    Write-Output ""Die Einstellung für den Telemetrie-Agent wurde nicht gefunden.""
}";;FALSCH
SYS.2.1.A1;Sichere Authentisierung von Benutzenden;Benutzende MÜSSEN eine Bildschirmsperre verwenden, wenn sie den Client unbeaufsichtigt betreiben.;Basis;GPResult erstellen;"gpresult /h ""%USERPROFILE%\Desktop\gpresult.html""";Export der GPResultDatei;FALSCH
SYS.2.1.A1;Sichere Authentisierung von Benutzenden;Um den Client zu nutzen, MÜSSEN sich die Benutzenden gegenüber dem IT-System authentisieren.;Basis;Infos zu lokalem User;net user %username%;gibt Informationen über den lokalen User aus - u.a. ob ein Passwort gesetzt ist.;FALSCH
SYS.2.1.A3;Aktivieren von Autoupdate-Mechanismen;Automatische Update-Mechanismen (Autoupdate) MÜSSEN aktiviert werden, sofern nicht andere Mechanismen wie regelmäßige manuelle Wartung oder ein zentrales Softwareverteilungssystem für Updates eingesetzt werden.;Basis;Intune Enrollment;"reg query ""HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Enrollments""";Dieser Befehl prüft, ob der Computer in eine Intune-Verwaltung eingebunden ist. Wenn Einträge in diesem Registry-Schlüssel vorhanden sind, ist der Computer von Intune verwaltet.;FALSCH
SYS.2.2.3.A9;Sichere zentrale Authentisierung in Windows-Netzen;Für die zentrale Authentisierung SOLLTE ausschließlich Kerberos eingesetzt werden.;Standard;Kerberos-Einstellungen;"# Überprüfen, ob Kerberos als Anmeldeprotokoll verwendet wird
$policy = Get-ItemProperty -Path ""HKLM:\Software\Microsoft\Windows\CurrentVersion\Policies\System"" -ErrorAction SilentlyContinue

if ($policy -and $policy.LsaKerberos) {
    Write-Output ""Kerberos ist als Anmeldeprotokoll konfiguriert.""
} else {
    Write-Output ""Kerberos ist nicht als Anmeldeprotokoll konfiguriert.""
}";;WAHR
SYS.2.1.A3;Aktivieren von Autoupdate-Mechanismen;Automatische Update-Mechanismen (Autoupdate) MÜSSEN aktiviert werden, sofern nicht andere Mechanismen wie regelmäßige manuelle Wartung oder ein zentrales Softwareverteilungssystem für Updates eingesetzt werden.;Basis;Matrix42 Endpoint-Verwaltung;"tasklist | findstr ""Matrix42 Endpoint Manager""";Wenn dieser Dienst läuft, ist der Computer von Matrix42 verwaltet.;FALSCH
ORP.4.A22;Regelung zur Passwortqualität;In Abhängigkeit von Einsatzzweck und Schutzbedarf MÜSSEN sichere Passwörter geeigneter Qualität gewählt werden.;Basis;Passwortkomplexität in GPO;"# Pfad zur gpresult.html-Datei und HTML-Datei einlesen
$htmlContent = Get-Content -Path $env:USERPROFILE""\Desktop\gpresult.html"" -Ra
# Nach Passwortkomplexitätseinstellungen suchen
if ($htmlContent -match ""Passwortkomplexität"") {
    # Hier kannst du den spezifischen Text oder die Werte extrahieren
    Write-Output ""Es gibt Richtlinien zur Passwortkomplexität in der gpresult-Datei.""
} else {
    Write-Output ""Es gibt keine Richtlinien zur Passwortkomplexität in der gpresult-Datei.""
}";Prüft die gpresult html Datei auf Infos zur Passwortkomplexität;WAHR
SYS.2.1.A16;Deaktivierung und Deinstallation nicht benötigter Komponenten und Kennungen;Nicht benötigte Laufzeitumgebungen, Interpretersprachen und Compiler SOLLTEN deinstalliert werden.;Standard;Powershell Konfiguration in GPO;"# Überprüfen, ob PowerShell über Gruppenrichtlinien deaktiviert ist
$policy = Get-ItemProperty -Path ""HKLM:\Software\Policies\Microsoft\Windows\PowerShell"" -ErrorAction SilentlyContinue

if ($policy -and $policy.EnableScripts -eq 0) {
    ""PowerShell ist durch Gruppenrichtlinien deaktiviert.""
} else {
    ""PowerShell ist erlaubt.""
}";Prüft ob Powershell über GPO deaktiviert ist.;FALSCH
SYS.2.1.A33;Einsatz von Ausführungskontrolle;Es SOLLTE über eine Ausführungskontrolle sichergestellt werden, dass nur explizit erlaubte Programme und Skripte ausgeführt werden können.;Hoch;AppLocker;((Get-AppLockerPolicy -Effective).RuleCollections).length -gt 0;Prüft, ob der Regelsatz von AppLocker größer als 0 ist.;FALSCH
SYS.2.1.A1;Sichere Authentisierung von Benutzenden;Benutzende MÜSSEN eine Bildschirmsperre verwenden, wenn sie den Client unbeaufsichtigt betreiben.;Basis;Bildschirmsperre;"$htmlContent = Get-Content -Path $env:USERPROFILE""\Desktop\gpresult.html"" -Raw

# Nach der Einstellung für die Bildschirmsperre suchen
if ($htmlContent -match ""Bildschirmschoner aktivieren"") {
    if ($htmlContent -match ""Ja"") {
        Write-Output ""Die automatische Bildschirmsperre ist aktiviert.""
    } else {
        Write-Output ""Die automatische Bildschirmsperre ist nicht aktiviert.""
    }
} else {
    Write-Output ""Die Einstellung für die automatische Bildschirmsperre wurde nicht gefunden.""
}";Ohne Admin-Rechte wird nur die User-GPO exportiert!!;FALSCH
SYS.2.1.A29;Systemüberwachung und Monitoring der Clients;Die Clients SOLLTEN in ein geeignetes Systemüberwachungs- bzw. Monitoringkonzept eingebunden werden, das den Systemzustand und die Funktionsfähigkeit der Clients laufend überwacht und Fehlerzustände sowie die Über- bzw. Unterschreitung definierter Grenzwerte an das Betriebspersonal meldet.;Hoch;Log-Weiterleitung;"# Überprüfen, ob im Forwarded Events-Protokoll Einträge vorhanden sind
$forwardedEventsLog = ""Microsoft-Windows-Forwarding/Operational""

# Abrufen der Ereignisse aus dem Forwarded Events-Protokoll
$events = Get-WinEvent -LogName $forwardedEventsLog -ErrorAction SilentlyContinue

if ($events) {
    Write-Output ""Es sind Ereignisse im Protokoll '$forwardedEventsLog' vorhanden.""
    Write-Output ""Anzahl der Ereignisse: $($events.Count)""
} else {
    Write-Output ""Es sind keine Ereignisse im Protokoll '$forwardedEventsLog' vorhanden.""
}";"Prüft im Log ""Forwareded Events"", ob es Einträge gibt.";FALSCH
SYS.2.1.A6;Einsatz von Schutzprogrammen gegen Schadsoftware;Der gesamte Datenbestand eines Clients MUSS regelmäßig auf Schadsoftware geprüft werden.;Basis;Defender Fullscan geplant;"# Überprüfen, ob ein geplanter Vollscan in Windows Defender vorhanden ist
$taskName = ""Microsoft\Windows\Windows Defender\Scheduled Scan""

# Abrufen der geplanten Aufgaben
$task = Get-ScheduledTask | Where-Object { $_.TaskName -eq $taskName }

if ($task) {
    # Überprüfen, ob die Aufgabe aktiviert ist
    if ($task.State -eq 'Ready') {
        Write-Output ""Ein regelmäßiger Vollscan ist geplant und die Aufgabe ist aktiviert.""
        
        # Weitere Details zur geplanten Aufgabe abrufen
        $taskDetails = Get-ScheduledTaskInfo -TaskName $taskName
        Write-Output ""Nächster geplanter Vollscan: $($taskDetails.NextRunTime)""
    } else {
        Write-Output ""Ein regelmäßiger Vollscan ist geplant, aber die Aufgabe ist nicht aktiviert.""
    }
} else {
    Write-Output ""Es ist kein geplanter Vollscan in Windows Defender vorhanden.""
}";Um zu überprüfen, ob in Windows Defender (Microsoft Defender Antivirus) ein regelmäßiger Vollscan (Full Scan) geplant ist, kannst du die PowerShell verwenden, um die geplanten Aufgaben zu überprüfen. Windows Defender verwendet die Windows-Aufgabenplanung, um Scans zu planen.;FALSCH
SYS.2.2.3.A23;Erweiterter Schutz der Anmeldeinformationen unter Windows;Auf UEFI-basierten Systemen SOLLTE SecureBoot verwendet und der Status des geschützten Modus für den Local Credential Store LSA beim Systemstart überwacht werden.;Hoch;Secureboot;"# Überprüfen, ob Secure Boot aktiviert ist
$secureBoot = Confirm-SecureBootUEFI

if ($secureBoot) {
    Write-Output ""Secure Boot ist aktiviert.""
} else {
    Write-Output ""Secure Boot ist nicht aktiviert.""
}";;WAHR
SYS.2.1.A8;Absicherung des Bootvorgangs;Der Startvorgang des IT-Systems („Booten“) MUSS gegen Manipulation abgesichert werden.;Basis;Secureboot;bcdedit /enum firmware;"prüfen, ob Secure Boot unter Windows aktiviert ist

Der Befehl gibt Informationen über die Firmware-Einstellungen aus. Suchen Sie nach dem Eintrag ""Secure Boot State"" und prüfen Sie, ob der Wert ""On"" oder ""Off"" lautet.";WAHR
SYS.2.1.A8;Absicherung des Bootvorgangs;Der Startvorgang des IT-Systems („Booten“) MUSS gegen Manipulation abgesichert werden.;Basis;Secureboot;powershell Get-CimInstance -ClassName Win32_OperatingSystem | Select-Object Caption,SecureBoot;"Wenn der Wert ""On"" ist, bedeutet das, dass Secure Boot aktiviert ist. Wenn der Wert ""Off"" ist, ist Secure Boot deaktiviert.";WAHR
SYS.2.2.3.A13;Einsatz der SmartScreen-Funktion;Die SmartScreen-Funktion, die aus dem Internet heruntergeladene Dateien und Webinhalte auf mögliche Schadsoftware untersucht und dazu unter Umständen personenbezogene Daten an Microsoft überträgt, SOLLTE deaktiviert werden.;Standard;SmartScreen;"Get-ItemProperty -Path ""HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer"" | Select-Object -Property SmartScreenEnabled";"Prüft ob Registry Key vorhanden ist. Zugriff auf ""Software"" erfordert Admin-Rechte.";WAHR
